# OVRO Measured IV curve
#   V(mV)      I(uA)
# --------    ------
-2.36095713 -8.9311
-2.35559028 -8.9116
-2.34401289 -8.8983
-2.33123516 -8.8852
-2.3246797 -8.859
-2.31585148 -8.8756
-2.30199891 -8.8477
-2.29115148 -8.8756
-2.2835222 -8.834
-2.2717613 -8.811
-2.2597072 -8.784
-2.2571191 -8.777
-2.24055416 -8.8152
-2.2342055 -8.785
-2.22528952 -8.7944
-2.21228323 -8.7981
-2.20586449 -8.7503
-2.19527078 -8.7466
-2.18501294 -8.7218
-2.17328961 -8.6767
-2.16687924 -8.6828
-2.15770096 -8.6112
-2.14590572 -8.6084
-2.1393503 -8.641
-2.12412973 -8.6531
-2.11399964 -8.6708
-2.1120942 -8.674
-2.08951035 -8.6645
-2.08433636 -8.6492
-2.07307563 -8.6261
-2.06138821 -8.6187
-2.05401728 -8.6016
-2.04371269 -8.6043
-2.03814006 -8.5882
-2.01960385 -8.6095
-2.01029786 -8.5542
-2.00677559 -8.5673
-1.99772064 -8.5408
-1.99106552 -8.5144
-1.97499986 -8.4942
-1.96186684 -8.4548
-1.95871733 -8.4251
-1.94424865 -8.4655
-1.93272124 -8.4228
-1.92587347 -8.4509
-1.91605201 -8.4047
-1.90798958 -8.3826
-1.90287186 -8.3342
-1.87971334 -8.3098
-1.87115945 -8.3415
-1.86477832 -8.3304
-1.85211861 -8.3067
-1.83965461 -8.2267
-1.83755869 -8.2243
-1.82417875 -8.2125
-1.81603808 -8.1776
-1.8013677 -8.219
-1.8002102 -8.194
-1.78130965 -8.1355
-1.77489469 -8.1443
-1.76548602 -8.1494
-1.75231951 -8.1297
-1.74379499 -8.0853
-1.73282168 -8.0696
-1.72917489 -8.0383
-1.71899767 -8.0249
-1.71090681 -7.9607
-1.69665768 -7.9896
-1.68306244 -7.9868
-1.6761216 -7.952
-1.66299793 -7.9071
-1.65165135 -7.9345
-1.64291527 -7.8969
-1.6349287 -7.889
-1.62382237 -7.8339
-1.61202254 -7.8338
-1.61298718 -7.8546
-1.59448157 -7.8579
-1.5892491 -7.877
-1.58205076 -7.8172
-1.56743886 -7.8242
-1.55552203 -7.8341
-1.54678527 -7.7969
-1.53873797 -7.7659
-1.5270735 -7.745
-1.52096738 -7.7486
-1.50880444 -7.7268
-1.50142756 -7.7132
-1.48730083 -7.6701
-1.47377584 -7.6848
-1.46143024 -7.6528
-1.45145336 -7.6392
-1.45194414 -7.5858
-1.43728902 -7.5594
-1.42753356 -7.5332
-1.4222101 -7.547
-1.40814172 -7.5284
-1.40239459 -7.4973
-1.38291091 -7.4877
-1.37916361 -7.4567
-1.36919948 -7.4356
-1.35802736 -7.4192
-1.34605728 -7.4016
-1.34269965 -7.4355
-1.32731151 -7.3697
-1.31636476 -7.3972
-1.30841151 -7.3697
-1.29677441 -7.3327
-1.29440484 -7.3148
-1.27772847 -7.3009
-1.26588814 -7.2658
-1.25353982 -7.2354
-1.24351925 -7.2475
-1.23752295 -7.1865
-1.22820782 -7.1954
-1.21828517 -7.1499
-1.20890744 -7.1368
-1.19889176 -7.0872
-1.18785385 -7.1095
-1.17597782 -7.0954
-1.16963872 -7.1184
-1.16020485 -7.0795
-1.14743749 -7.0603
-1.14030209 -7.0223
-1.12521926 -7.0122
-1.11711773 -7.0131
-1.11251548 -6.9556
-1.10424863 -6.9361
-1.09304285 -6.9395
-1.07844744 -6.9368
-1.07288314 -6.9158
-1.05845356 -6.9332
-1.04464472 -6.9384
-1.04467753 -6.9191
-1.02858624 -6.9728
-1.01569614 -7.0258
-1.0034873 -7.031
-1.00091573 -7.0731
-0.98577493 -7.0971
-0.97663991 -7.1177
-0.9646105 -7.135
-0.95902784 -7.1248
-0.94497221 -7.0987
-0.93784845 -7.1715
